lid,longitude,latitude,naics_code,num_visits
8700611,-79.2335305,37.3936255,524113.0,2
8700880,-79.9587295,37.302484,337910.0,3
8700880,-79.9587295,37.302484,453998.0,3
8700880,-79.9587295,37.302484,517312.0,3
8700880,-79.9587295,37.302484,722515.0,3
8701048,-79.4975985,37.323391,722513.0,1
8701048,-79.4975985,37.323391,722515.0,1
8701205,-79.9587295,37.302484,337910.0,5
8701205,-79.9587295,37.302484,453998.0,5
8701205,-79.9587295,37.302484,517312.0,5
8701205,-79.9587295,37.302484,722515.0,5
8701786,-79.4975985,37.323391,722513.0,5
8701786,-79.4975985,37.323391,722515.0,5
8701806,-79.8738965,37.2784545,722511.0,2
8702347,-80.027501,37.297724,722513.0,1
8702527,-81.8102235,37.09442,722513.0,3
8703128,-79.141481,37.41467,448150.0,1
8703128,-79.141481,37.41467,722513.0,1
8703128,-79.141481,37.41467,812930.0,1
8704172,-79.9587295,37.302484,337910.0,7
8704172,-79.9587295,37.302484,453998.0,7
8704172,-79.9587295,37.302484,517312.0,7
8704172,-79.9587295,37.302484,722515.0,7
8705146,-81.0955045,36.940162,722511.0,1
8705256,-79.2335305,37.3936255,524113.0,1
8705267,-79.8940075,37.2803765,524126.0,2
8705337,-79.661379,37.0800045,447110.0,1
8705869,-79.9776115,37.2649195,523120.0,2
8705869,-79.9776115,37.2649195,722511.0,2
8705869,-79.9776115,37.2649195,812112.0,2
8706120,-79.9587295,37.302484,337910.0,1
8706120,-79.9587295,37.302484,453998.0,1
8706120,-79.9587295,37.302484,517312.0,1
8706120,-79.9587295,37.302484,722515.0,1
8706806,-79.9797055,37.2275535,722511.0,1
8706806,-79.9797055,37.2275535,722513.0,1
8707243,-79.9392745,37.272934,482111.0,3
8707422,-79.9587295,37.302484,337910.0,2
8707422,-79.9587295,37.302484,453998.0,2
8707422,-79.9587295,37.302484,517312.0,2
8707422,-79.9587295,37.302484,722515.0,2
8707486,-80.137389,37.272741,447110.0,8
8707615,-80.091969,37.288332,722511.0,2
8707850,-79.1883095,37.3185315,541213.0,3
8707921,-79.9587295,37.302484,337910.0,3
8707921,-79.9587295,37.302484,453998.0,3
8707921,-79.9587295,37.302484,517312.0,3
8707921,-79.9587295,37.302484,722515.0,3
8708228,-81.0972355,36.9586995,443142.0,1
8708228,-81.0972355,36.9586995,517312.0,1
8708228,-81.0972355,36.9586995,722513.0,1
8708228,-81.0972355,36.9586995,722515.0,1
8708285,-79.9412865,37.256694,722515.0,1
8708874,-79.2045767087652,37.4159024739276,722513.0,1
8709088,-79.9587295,37.302484,337910.0,2
8709088,-79.9587295,37.302484,453998.0,2
8709088,-79.9587295,37.302484,517312.0,2
8709088,-79.9587295,37.302484,722515.0,2
8709299,-79.9797055,37.2275535,722511.0,3
8709299,-79.9797055,37.2275535,722513.0,3
8709766,-79.92504,37.257519,447110.0,11
8709766,-79.92504,37.257519,522320.0,11
8709766,-79.92504,37.257519,522390.0,11
8709974,-79.2796495,37.116738,446110.0,2
8709974,-79.2796495,37.116738,522390.0,2
8709990,-81.076617,36.9533235,444110.0,2
8710243,-79.2402575,37.3561155,722511.0,1
8710244,-79.2402575,37.3561155,722511.0,5
8710833,-81.0972355,36.9586995,443142.0,2
8710833,-81.0972355,36.9586995,517312.0,2
8710833,-81.0972355,36.9586995,722513.0,2
8710833,-81.0972355,36.9586995,722515.0,2
8710989,-79.9587295,37.302484,337910.0,5
8710989,-79.9587295,37.302484,453998.0,5
8710989,-79.9587295,37.302484,517312.0,5
8710989,-79.9587295,37.302484,722515.0,5
8711787,-79.9851024187788,37.222202999747,448120.0,4
8711806,-79.9587295,37.302484,337910.0,13
8711806,-79.9587295,37.302484,453998.0,13
8711806,-79.9587295,37.302484,517312.0,13
8711806,-79.9587295,37.302484,722515.0,13
8711853,-80.582447,37.1506375,722513.0,2
8711932,-79.94722,37.3498825,444130.0,4
8711932,-79.94722,37.3498825,453220.0,4
8712327,-79.969555,37.306289,452319.0,9
8712342,-79.9587295,37.302484,337910.0,7
8712342,-79.9587295,37.302484,453998.0,7
8712342,-79.9587295,37.302484,517312.0,7
8712342,-79.9587295,37.302484,722515.0,7
8713284,-80.4238776390921,37.1659133528132,722511.0,1
8713328,-79.9587295,37.302484,337910.0,8
8713328,-79.9587295,37.302484,453998.0,8
8713328,-79.9587295,37.302484,517312.0,8
8713328,-79.9587295,37.302484,722515.0,8
8713458,-79.2402575,37.3561155,722511.0,1
8714051,-79.2402575,37.3561155,722511.0,4
8714326,-80.4215995,37.159224,722515.0,1
8714691,-79.9587295,37.302484,337910.0,7
8714691,-79.9587295,37.302484,453998.0,7
8714691,-79.9587295,37.302484,517312.0,7
